
*************************************************************
                       POINT NUMBER = 1
*************************************************************
DyFeO3                  ref        calc    error^2    %P.R.E.
cell(1_y)              0.0000     0.0000  0.0000e+00    0.00
cell(1_z)              0.0000     0.0000  0.0000e+00    0.00
cell(2_x)              0.2825     0.2785  1.6120e-05    1.42
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.0978     0.0989  1.2701e-06    1.15
cell(3_y)              0.3587     0.3598  1.2860e-06    0.32
cell(3_z)              0.1305     0.1309  1.9272e-07    0.34
cell(4_x)              0.0978     0.0990  1.5426e-06    1.27
cell(4_y)              0.3587     0.3600  1.6512e-06    0.36
cell(4_z)              0.1305     0.1311  3.1136e-07    0.43
cell(Volume)        1192.3311  1192.1741  2.4653e-02    0.01
cell(a)               10.6039    10.6034  2.1623e-07    0.00
cell(b)               10.6039    10.6034  2.1623e-07    0.00
cell(c)               10.6039    10.6034  2.1623e-07    0.00
-------------------------------------------------------------
Fe2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.0000     0.0000  0.0000e+00    0.00
cell(1_y)              0.0000     0.0000  0.0000e+00    0.00
cell(1_z)              0.0000     0.0000  0.0000e+00    0.00
cell(2_x)              0.2850     0.2782  4.6868e-05    2.40
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.1290     0.1402  1.2632e-04    8.71
cell(3_y)              0.1470     0.1308  2.6302e-04   11.03
cell(3_z)              0.9165     0.9009  2.4196e-04    1.70
cell(4_x)              0.1290     0.1400  1.2179e-04    8.56
cell(4_y)              0.1470     0.1310  2.5747e-04   10.92
cell(4_z)              0.9165     0.9008  2.4680e-04    1.71
