
*************************************************************
                       POINT NUMBER = 0
*************************************************************
DyFeO3                  ref        calc    error^2    %P.R.E.
cell(4_x)              0.3907     0.3896  1.3042e-06    0.29
cell(4_y)              0.1504     0.1509  2.1437e-07    0.31
cell(4_z)              0.3791     0.3812  4.3139e-06    0.55
cell(Volume)        1329.1858  1314.0392  2.2942e+02    1.14
cell(a)               10.9950    10.9531  1.7576e-03    0.38
cell(b)               10.9950    10.9531  1.7576e-03    0.38
cell(c)               10.9950    10.9531  1.7576e-03    0.38
-------------------------------------------------------------
TmFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.0691     0.0411  7.8624e-04   40.58
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4810     0.4913  1.0578e-04    2.14
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.4559     0.4486  5.4008e-05    1.61
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.6148     0.6031  1.3626e-04    1.90
cell(4_x)              0.3057     0.2979  6.0249e-05    2.54
cell(4_y)              0.0587     0.0552  1.2447e-05    6.01
cell(4_z)              0.1907     0.1998  8.2937e-05    4.78
cell(5_x)              0.4559     0.4482  5.9429e-05    1.69
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.6148     0.6034  1.3099e-04    1.86
cell(6_x)              0.3057     0.2982  5.6520e-05    2.46
cell(6_y)              0.0587     0.0554  1.1142e-05    5.69
cell(6_z)              0.1907     0.1999  8.4107e-05    4.81
cell(Volume)         222.0563   222.4521  1.5669e-01    0.18
cell(a)                5.5760     5.4574  1.4063e-02    2.13
cell(b)                7.5840     7.6420  3.3645e-03    0.76
cell(c)                5.2510     5.3339  6.8674e-03    1.58
-------------------------------------------------------------
Tm2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9661     0.9712  2.5634e-05    0.52
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3890     0.3900  9.7614e-07    0.25
cell(3_y)              0.1540     0.1510  8.8864e-06    1.94
cell(3_z)              0.3790     0.3810  3.8967e-06    0.52
cell(4_x)              0.3890     0.3898  6.7568e-07    0.21
cell(4_y)              0.1540     0.1509  9.6659e-06    2.02
cell(4_z)              0.3790     0.3811  4.3806e-06    0.55
cell(Volume)        1154.5848  1150.0747  2.0341e+01    0.39
cell(a)               10.4908    10.4771  1.8709e-04    0.13
cell(b)               10.4908    10.4771  1.8709e-04    0.13
cell(c)               10.4908    10.4771  1.8709e-04    0.13
-------------------------------------------------------------
YbFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.0708     0.0417  8.4873e-04   41.15
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4806     0.4908  1.0420e-04    2.12
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.4537     0.4464  5.3920e-05    1.62
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.6169     0.6056  1.2746e-04    1.83
cell(4_x)              0.3077     0.2984  8.6509e-05    3.02
cell(4_y)              0.0599     0.0566  1.1082e-05    5.56
cell(4_z)              0.1886     0.1993  1.1438e-04    5.67
cell(5_x)              0.4537     0.4460  5.9275e-05    1.70
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.6169     0.6058  1.2239e-04    1.79
cell(6_x)              0.3077     0.2987  8.1884e-05    2.94
cell(6_y)              0.0599     0.0568  9.8470e-06    5.24
cell(6_z)              0.1886     0.1994  1.1599e-04    5.71
cell(Volume)         221.1158   220.9648  2.2796e-02    0.07
cell(a)                5.5686     5.4446  1.5372e-02    2.23
cell(b)                7.5843     7.6321  2.2861e-03    0.63
cell(c)                5.2355     5.3175  6.7307e-03    1.57
-------------------------------------------------------------
Yb2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9675     0.9712  1.3557e-05    0.38
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3902     0.3900  4.2025e-08    0.05
cell(3_y)              0.1532     0.1510  4.7699e-06    1.43
cell(3_z)              0.3804     0.3810  3.2262e-07    0.15
cell(4_x)              0.3902     0.3898  1.3913e-07    0.10
cell(4_y)              0.1532     0.1509  5.3500e-06    1.51
cell(4_z)              0.3804     0.3811  4.7472e-07    0.18
cell(Volume)        1136.5858  1132.4392  1.7194e+01    0.36
cell(a)               10.4360    10.4233  1.6147e-04    0.12
cell(b)               10.4360    10.4233  1.6147e-04    0.12
cell(c)               10.4360    10.4233  1.6147e-04    0.12
-------------------------------------------------------------
YFeO3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.0680     0.0384  8.7557e-04   43.51
