
*************************************************************
                       POINT NUMBER = 0
*************************************************************
DyFeO3                  ref        calc    error^2    %P.R.E.
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5212     0.5228  2.4242e-06    0.30
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5817     0.5672  2.1022e-04    2.49
cell(4_x)              0.2081     0.2130  2.4118e-05    2.36
cell(4_y)              0.0437     0.0353  6.9839e-05   19.12
cell(4_z)              0.2925     0.2879  2.0739e-05    1.56
cell(5_x)              0.5212     0.5231  3.7210e-06    0.37
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5817     0.5674  2.0363e-04    2.45
cell(6_x)              0.2081     0.2129  2.2743e-05    2.29
cell(6_y)              0.0437     0.0355  6.7536e-05   18.81
cell(6_z)              0.2925     0.2880  2.0115e-05    1.53
cell(Volume)         238.0849   240.7954  7.3466e+00    1.14
cell(a)                5.5780     5.5703  5.9059e-05    0.14
cell(b)                7.7860     7.8182  1.0343e-03    0.41
cell(c)                5.4820     5.5292  2.2297e-03    0.86
-------------------------------------------------------------
Pr2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9695     0.9703  6.6260e-07    0.08
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3905     0.3896  8.2084e-07    0.23
cell(3_y)              0.1494     0.1510  2.4618e-06    1.05
cell(3_z)              0.3786     0.3811  6.3554e-06    0.67
cell(4_x)              0.3905     0.3894  1.1300e-06    0.27
cell(4_y)              0.1494     0.1508  2.0938e-06    0.97
cell(4_z)              0.3786     0.3812  6.8278e-06    0.69
cell(Volume)        1438.3050  1392.2483  2.1212e+03    3.20
cell(a)               11.2880    11.1662  1.4834e-02    1.08
cell(b)               11.2880    11.1662  1.4834e-02    1.08
cell(c)               11.2880    11.1662  1.4834e-02    1.08
-------------------------------------------------------------
SmFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.4433     0.4702  7.2302e-04    6.07
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.0131     0.0044  7.5794e-05   66.46
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5290     0.5274  2.4242e-06    0.29
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5947     0.5736  4.4694e-04    3.55
cell(4_x)              0.2008     0.2106  9.5472e-05    4.87
cell(4_y)              0.0497     0.0388  1.1781e-04   21.84
cell(4_z)              0.2996     0.2907  7.9781e-05    2.98
cell(5_x)              0.5290     0.5278  1.3689e-06    0.22
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5947     0.5738  4.3727e-04    3.52
cell(6_x)              0.2008     0.2104  9.2448e-05    4.79
cell(6_y)              0.0497     0.0390  1.1460e-04   21.54
cell(6_z)              0.2996     0.2907  7.8890e-05    2.96
cell(Volume)         233.0557   238.7523  3.2451e+01    2.44
cell(a)                5.5970     5.5647  1.0402e-03    0.58
cell(b)                7.7110     7.7924  6.6276e-03    1.06
cell(c)                5.4000     5.5059  1.1220e-02    1.96
-------------------------------------------------------------
Sm2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9685     0.9705  3.9521e-06    0.21
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3907     0.3897  1.0465e-06    0.26
cell(3_y)              0.1504     0.1510  3.4106e-07    0.39
cell(3_z)              0.3791     0.3811  3.9800e-06    0.53
cell(4_x)              0.3907     0.3895  1.3924e-06    0.30
cell(4_y)              0.1504     0.1509  2.1437e-07    0.31
cell(4_z)              0.3791     0.3812  4.3723e-06    0.55
cell(Volume)        1329.1858  1356.4280  7.4214e+02    2.05
cell(a)               10.9950    11.0696  5.5664e-03    0.68
cell(b)               10.9950    11.0696  5.5664e-03    0.68
cell(c)               10.9950    11.0696  5.5664e-03    0.68
-------------------------------------------------------------
TmFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.0691     0.0399  8.5200e-04   42.24
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4810     0.4921  1.2299e-04    2.31
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.4559     0.4529  9.1264e-06    0.66
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.6148     0.5981  2.7722e-04    2.71
cell(4_x)              0.3057     0.2968  7.8482e-05    2.90
cell(4_y)              0.0587     0.0524  3.9690e-05   10.73
cell(4_z)              0.1907     0.2010  1.0663e-04    5.41
cell(5_x)              0.4559     0.4525  1.1492e-05    0.74
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.6148     0.5984  2.6988e-04    2.67
cell(6_x)              0.3057     0.2971  7.4563e-05    2.82
cell(6_y)              0.0587     0.0526  3.7405e-05   10.42
cell(6_z)              0.1907     0.2011  1.0756e-04    5.44
cell(Volume)         222.0563   227.2948  2.7442e+01    2.36
cell(a)                5.5760     5.4975  6.1666e-03    1.41
cell(b)                7.5840     7.6839  9.9810e-03    1.32
cell(c)                5.2510     5.3808  1.6841e-02    2.47
-------------------------------------------------------------
Tm2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9661     0.9710  2.4443e-05    0.51
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3890     0.3899  8.7422e-07    0.24
cell(3_y)              0.1540     0.1510  8.8983e-06    1.94
cell(3_z)              0.3790     0.3810  3.9920e-06    0.53
cell(4_x)              0.3890     0.3898  5.9753e-07    0.20
cell(4_y)              0.1540     0.1509  9.6597e-06    2.02
cell(4_z)              0.3790     0.3811  4.4605e-06    0.56
cell(Volume)        1154.5848  1195.6519  1.6865e+03    3.56
cell(a)               10.4908    10.6137  1.5113e-02    1.17
cell(b)               10.4908    10.6137  1.5113e-02    1.17
cell(c)               10.4908    10.6137  1.5113e-02    1.17
-------------------------------------------------------------
YbFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.0708     0.0406  9.1192e-04   42.65
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4806     0.4917  1.2290e-04    2.31
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.4537     0.4510  7.2684e-06    0.59
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.6169     0.6003  2.7430e-04    2.68
cell(4_x)              0.3077     0.2973  1.0804e-04    3.38
cell(4_y)              0.0599     0.0536  3.9351e-05   10.47
cell(4_z)              0.1886     0.2005  1.4168e-04    6.31
cell(5_x)              0.4537     0.4506  9.3758e-06    0.67
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.6169     0.6006  2.6713e-04    2.65
cell(6_x)              0.3077     0.2975  1.0329e-04    3.30
cell(6_y)              0.0599     0.0538  3.7064e-05   10.16
cell(6_z)              0.1886     0.2006  1.4302e-04    6.34
cell(Volume)         221.1158   225.9771  2.3633e+01    2.20
cell(a)                5.5686     5.4874  6.5975e-03    1.46
cell(b)                7.5843     7.6735  7.9568e-03    1.18
cell(c)                5.2355     5.3667  1.7210e-02    2.51
-------------------------------------------------------------
Yb2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9675     0.9711  1.2624e-05    0.37
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3902     0.3899  6.8644e-08    0.07
cell(3_y)              0.1532     0.1510  4.7786e-06    1.43
cell(3_z)              0.3804     0.3810  3.5284e-07    0.16
cell(4_x)              0.3902     0.3898  1.8233e-07    0.11
cell(4_y)              0.1532     0.1509  5.3500e-06    1.51
cell(4_z)              0.3804     0.3811  5.0268e-07    0.19
cell(Volume)        1136.5858  1179.9038  1.8765e+03    3.81
cell(a)               10.4360    10.5669  1.7143e-02    1.25
cell(b)               10.4360    10.5669  1.7143e-02    1.25
cell(c)               10.4360    10.5669  1.7143e-02    1.25
-------------------------------------------------------------
YFeO3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.0680     0.0396  8.0895e-04   41.83
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4811     0.4918  1.1462e-04    2.23
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.4614     0.4476  1.9063e-04    2.99
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.6109     0.6041  4.6512e-05    1.12
cell(4_x)              0.3069     0.2986  6.8327e-05    2.69
cell(4_y)              0.0583     0.0556  7.3984e-06    4.67
cell(4_z)              0.1927     0.1991  4.0513e-05    3.30
cell(5_x)              0.4614     0.4473  1.9994e-04    3.06
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.6109     0.6044  4.2837e-05    1.07
cell(6_x)              0.3069     0.2989  6.4304e-05    2.61
cell(6_y)              0.0583     0.0558  6.3857e-06    4.33
cell(6_z)              0.1927     0.1991  4.1024e-05    3.32
cell(Volume)         224.7610   225.4531  4.7901e-01    0.31
cell(a)                5.5957     5.4751  1.4533e-02    2.15
cell(b)                7.6046     7.6878  6.9164e-03    1.09
cell(c)                5.2819     5.3562  5.5267e-03    1.41
-------------------------------------------------------------
Y2O3                    ref        calc    error^2    %P.R.E.
cell(1_x)              0.0000     0.0000  0.0000e+00    0.00
cell(1_y)              0.0000     0.0000  0.0000e+00    0.00
cell(1_z)              0.0000     0.0000  0.0000e+00    0.00
cell(2_x)              0.2825     0.2783  1.7447e-05    1.48
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.0978     0.0989  1.2455e-06    1.14
cell(3_y)              0.3587     0.3598  1.1215e-06    0.30
cell(3_z)              0.1305     0.1309  1.7057e-07    0.32
cell(4_x)              0.0978     0.0990  1.5129e-06    1.26
cell(4_y)              0.3587     0.3599  1.4617e-06    0.34
cell(4_z)              0.1305     0.1310  2.8730e-07    0.41
cell(Volume)        1192.3311  1160.9952  9.8194e+02    2.63
cell(a)               10.6039    10.5102  8.7834e-03    0.88
cell(b)               10.6039    10.5102  8.7834e-03    0.88
cell(c)               10.6039    10.5102  8.7834e-03    0.88
-------------------------------------------------------------
Fe2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.0000     0.0000  0.0000e+00    0.00
cell(1_y)              0.0000     0.0000  0.0000e+00    0.00
cell(1_z)              0.0000     0.0000  0.0000e+00    0.00
cell(2_x)              0.2850     0.2781  4.6950e-05    2.40
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
